Bin index,SRR7824843_1,SRR7824843_1 rank
1-0,66,1349
1-1,63,1362
1-2,62,1365
1-3,81,1239
1-4,64,1359
1-5,78,1260
1-6,105,1030
1-7,106,1024
1-8,82,1229
1-9,45,1406
1-10,44,1408
1-11,119,909
1-12,84,1212
1-13,111,973
1-14,113,954
1-15,130,828
1-16,117,922
1-17,100,1066
1-18,53,1390
1-19,80,1247
1-20,78,1261
1-21,91,1165
1-22,69,1332
1-23,120,903
1-24,129,836
1-25,110,989
1-26,80,1248
1-27,100,1067
1-28,81,1240
1-29,111,974
1-30,105,1031
1-31,88,1185
1-32,92,1149
1-33,71,1319
1-34,82,1230
1-35,90,1170
1-36,106,1025
1-37,122,885
1-38,104,1042
1-39,102,1055
1-40,89,1178
1-41,93,1143
1-42,124,863
1-43,70,1323
1-44,110,990
1-45,78,1262
1-46,141,743
1-47,90,1171
1-48,98,1084
1-49,100,1068
1-50,67,1344
1-51,89,1179
1-52,80,1249
1-53,114,942
1-54,76,1278
1-55,95,1123
1-56,131,824
1-57,106,1026
1-58,121,894
1-59,94,1133
1-60,82,1231
1-61,114,943
1-62,96,1108
1-63,66,1350
1-64,52,1392
1-65,126,850
1-66,111,975
1-67,107,1017
1-68,74,1299
1-69,97,1092
1-70,89,1180
1-71,136,781
1-72,101,1060
1-73,178,524
1-74,78,1263
1-75,86,1202
1-76,138,765
1-77,160,621
1-78,119,910
1-79,92,1150
1-80,108,1008
1-81,165,597
1-82,121,895
1-83,132,813
1-84,92,1151
1-85,72,1311
1-86,111,976
1-87,108,1009
1-88,115,932
1-89,96,1109
1-90,114,944
1-91,156,645
1-92,127,845
1-93,132,814
1-94,117,923
1-95,122,886
1-96,132,815
1-97,140,754
1-98,160,622
1-99,179,517
1-100,109,1002
1-101,122,887
1-102,169,576
1-103,148,694
1-104,179,518
1-105,144,722
1-106,219,323
1-107,268,176
1-108,160,623
1-109,127,846
1-110,162,612
1-111,158,630
1-112,194,446
1-113,149,687
1-114,137,771
1-115,243,239
1-116,226,301
1-117,139,758
