Standard name,Common name,Type,Lib _1
C5_00010W_A,TLO11,ORF|Uncharacterized,3
C5_00020W_A,,long_terminal_repeat,2
C5_00030W_A,,ORF|Uncharacterized,2
C5_00040C_A,,ORF|Uncharacterized,1
C5_00050W_A,,ORF|Uncharacterized,1
C5_00060C_A,,ORF|Uncharacterized,1
C5_00070W_A,CDC11,ORF|Verified,0
C5_00080C_A,,ORF|Uncharacterized,7
C5_00090C_A,,ORF|Uncharacterized,20
C5_00100C_A,,ORF|Uncharacterized,12
C5_00110C_A,THS1,ORF|Uncharacterized,3
C5_00120W_A,,ORF|Uncharacterized,4
C5_00130C_A,,ORF|Uncharacterized,0
C5_00140C_A,,ORF|Uncharacterized,8
C5_00150C_A,,ORF|Uncharacterized,3
C5_00160W_A,,ORF|Uncharacterized,12
C5_00170W_A,,ORF|Uncharacterized,19
C5_00180W_A,AFL1,ORF|Uncharacterized,14
C5_00190C_A,FAS1,ORF|Verified,1
C5_00200C_A,BDF1,ORF|Uncharacterized,2
C5_00210C_A,BRE1,ORF|Verified,3
C5_00220W_A,ROT2,ORF|Verified,3
C5_00230C_A,,ORF|Uncharacterized,10
C5_00240W_A,SKN7,ORF|Verified,11
C5_00250C_A,,ORF|Uncharacterized,8
C5_00260W_A,,ORF|Uncharacterized,1
C5_00270W_A,PGA14,ORF|Uncharacterized,7
C5_00280C_A,,ORF|Uncharacterized,12
C5_00290W_A,DUS4,ORF|Uncharacterized,13
C5_00300C_A,SMC4,ORF|Uncharacterized,2
C5_00310C_A,,ORF|Uncharacterized,5
C5_00320W_A,,ORF|Uncharacterized,1
C5_00330C_A,,ORF|Uncharacterized,58
C5_00340W_A,,ORF|Uncharacterized,2
C5_00350C_A,,ORF|Uncharacterized,16
C5_00360C_A,tS(CAG)1,tRNA|Verified,0
C5_00370W_A,COF1,ORF|Alternatively spliced|Uncharacterized,0
C5_00380W_A,,ORF|Uncharacterized,13
C5_00390C_A,,ORF|Uncharacterized,3
C5_00400C_A,,ORF|Uncharacterized,11
C5_00410W_A,,ORF|Dubious,5
C5_00420C_A,MRP17,ORF|Uncharacterized,1
C5_00430W_A,MET14,ORF|Uncharacterized,4
C5_00440C_A,VPS2,ORF|Uncharacterized,9
C5_00450C_A,IFG3,ORF|Uncharacterized,12
C5_00460C_A,FET33,ORF|Verified,17
C5_00470C_A,KRE62,ORF|Uncharacterized,32
C5_00480C_A,SEC14,ORF|Verified,0
C5_00490C_A,BUD2,ORF|Verified,8
C5_00500W_A,NAM7,ORF|Uncharacterized,13
C5_00510W_A,,ORF|Uncharacterized,11
C5_00520W_A,,ORF|Dubious,11
C5_00530W_A,,ORF|Uncharacterized,24
C5_00540C_A,AGA1,ORF|Uncharacterized,15
C5_00550C_A,,ORF|Uncharacterized,2
C5_00560W_A,,ORF|Uncharacterized,2
C5_00570W_A,,ORF|Uncharacterized,32
C5_00580W_A,,ORF|Uncharacterized,18
C5_00590W_A,PET9,ORF|Verified,2
C5_00600C_A,,ORF|Uncharacterized,23
C5_00610C_A,,ORF|Uncharacterized,17
C5_00620W_A,,ORF|Uncharacterized,2
C5_00630C_A,EXO1,ORF|Uncharacterized,22
C5_00640C_A,SAM51,ORF|Verified,8
C5_00650C_A,THR1,ORF|Uncharacterized,5
C5_00660C_A,ERG11,ORF|Verified,1
C5_00670C_A,HMS1,ORF|Verified,9
C5_00680W_A,RMT2,ORF|Verified,9
C5_00690C_A,TFB3,ORF|Uncharacterized,0
C5_00700C_A,SPE2,ORF|Uncharacterized,2
C5_00710W_A,IFF8,ORF|Verified,39
C5_00720W_A,,long_terminal_repeat,11
C5_00730W_A,HYR3,ORF|Verified,77
C5_00740W_A,CTF8,ORF|Uncharacterized,12
C5_00750C_A,,ORF|Uncharacterized,29
C5_00760W_A,,ORF|Uncharacterized,22
C5_00770C_A,FOL1,ORF|Uncharacterized,0
C5_00780C_A,,ORF|Uncharacterized,12
C5_00790C_A,,ORF|Uncharacterized,15
C5_00800C_A,,ORF|Verified,12
C5_00810C_A,,ORF|Uncharacterized,31
C5_00820W_A,,ORF|Uncharacterized,1
C5_00830C_A,ERV46,ORF|Uncharacterized,11
C5_00840W_A,,ORF|Uncharacterized,32
C5_00850C_A,,ORF|Uncharacterized,4
C5_00860W_A,IMP2,ORF|Uncharacterized,2
C5_00870C_A,GIT4,ORF|Verified,25
C5_00880C_A,GIT3,ORF|Verified,9
