Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048230.1-0,2,1214
CP048230.1-1,2,1215
CP048230.1-2,0,1240
CP048230.1-3,28,532
CP048230.1-4,35,405
CP048230.1-5,74,107
CP048230.1-6,73,111
CP048230.1-7,148,17
CP048230.1-8,58,180
CP048230.1-9,148,18
CP048230.1-10,51,218
CP048230.1-11,11,1018
CP048230.1-12,121,32
CP048230.1-13,50,232
CP048230.1-14,110,40
CP048230.1-15,41,332
CP048230.1-16,39,359
CP048230.1-17,43,304
CP048230.1-18,107,43
CP048230.1-19,44,293
CP048230.1-20,42,317
CP048230.1-21,13,955
CP048230.1-22,2,1216
CP048230.1-23,44,294
CP048230.1-24,15,905
CP048230.1-25,47,260
CP048230.1-26,60,165
CP048230.1-27,44,295
CP048230.1-28,16,872
CP048230.1-29,21,725
CP048230.1-30,3,1197
CP048230.1-31,12,988
CP048230.1-32,31,485
CP048230.1-33,35,406
CP048230.1-34,44,296
CP048230.1-35,43,305
CP048230.1-36,17,844
CP048230.1-37,35,407
CP048230.1-38,21,726
CP048230.1-39,13,956
CP048230.1-40,19,784
CP048230.1-41,33,447
CP048230.1-42,14,930
CP048230.1-43,37,385
CP048230.1-44,63,144
CP048230.1-45,22,689
CP048230.1-46,24,634
CP048230.1-47,30,499
CP048230.1-48,34,424
CP048230.1-49,5,1156
CP048230.1-50,3,1198
CP048231.1-0,0,1241
CP048231.1-1,21,727
CP048231.1-2,23,657
CP048231.1-3,47,261
CP048231.1-4,41,333
CP048231.1-5,41,334
CP048231.1-6,28,533
CP048231.1-7,51,219
CP048231.1-8,34,425
CP048231.1-9,74,108
CP048231.1-10,23,658
CP048231.1-11,23,659
CP048231.1-12,5,1157
CP048231.1-13,20,759
CP048231.1-14,23,660
CP048231.1-15,17,845
CP048231.1-16,13,957
CP048231.1-17,18,810
CP048231.1-18,17,846
CP048231.1-19,18,811
CP048231.1-20,18,812
CP048231.1-21,10,1042
CP048231.1-22,28,534
CP048231.1-23,68,126
CP048231.1-24,29,511
CP048231.1-25,40,343
CP048231.1-26,39,360
CP048231.1-27,66,132
CP048231.1-28,95,52
CP048231.1-29,118,35
CP048231.1-30,76,102
CP048231.1-31,20,760
CP048231.1-32,15,906
CP048231.1-33,12,989
CP048231.1-34,47,262
CP048231.1-35,152,14
CP048231.1-36,21,728
CP048231.1-37,108,42
CP048231.1-38,160,9
CP048231.1-39,34,426
CP048231.1-40,45,286
CP048231.1-41,90,58
CP048231.1-42,76,103
CP048231.1-43,58,181
CP048231.1-44,157,11
CP048231.1-45,121,33
CP048231.1-46,71,113
CP048231.1-47,167,8
CP048231.1-48,127,27
CP048231.1-49,12,990
CP048231.1-50,0,1242
CP048231.1-51,3,1199
CP048232.1-0,0,1243
CP048232.1-1,9,1063
CP048232.1-2,22,690
CP048232.1-3,31,486
CP048232.1-4,29,512
CP048232.1-5,37,386
CP048232.1-6,24,635
CP048232.1-7,31,487
CP048232.1-8,22,691
CP048232.1-9,8,1088
CP048232.1-10,32,467
CP048232.1-11,19,785
CP048232.1-12,9,1064
CP048232.1-13,16,873
CP048232.1-14,22,692
CP048232.1-15,23,661
CP048232.1-16,54,199
CP048232.1-17,12,991
CP048232.1-18,48,251
CP048232.1-19,40,344
CP048232.1-20,15,907
CP048232.1-21,23,662
CP048232.1-22,22,693
CP048232.1-23,58,182
CP048232.1-24,77,98
CP048232.1-25,12,992
CP048232.1-26,28,535
CP048232.1-27,43,306
CP048232.1-28,62,154
CP048232.1-29,28,536
CP048232.1-30,27,560
CP048232.1-31,69,122
CP048232.1-32,46,275
CP048232.1-33,27,561
CP048232.1-34,51,220
CP048232.1-35,52,207
CP048232.1-36,78,95
CP048232.1-37,91,54
CP048232.1-38,83,73
CP048232.1-39,98,49
CP048232.1-40,134,23
CP048232.1-41,103,46
CP048232.1-42,118,36
CP048232.1-43,228,2
CP048232.1-44,91,55
CP048232.1-45,128,26
CP048232.1-46,56,190
CP048232.1-47,87,62
CP048232.1-48,48,252
CP048232.1-49,22,694
CP048232.1-50,49,238
CP048232.1-51,23,663
CP048232.1-52,24,636
CP048232.1-53,2,1217
CP048232.1-54,1,1227
CP048233.1-0,0,1244
CP048233.1-1,18,813
CP048233.1-2,84,71
CP048233.1-3,30,500
CP048233.1-4,14,931
CP048233.1-5,41,335
CP048233.1-6,32,468
CP048233.1-7,29,513
CP048233.1-8,42,318
CP048233.1-9,71,114
CP048233.1-10,52,208
CP048233.1-11,5,1158
CP048233.1-12,39,361
CP048233.1-13,28,537
CP048233.1-14,17,847
CP048233.1-15,7,1113
CP048233.1-16,34,427
CP048233.1-17,8,1089
CP048233.1-18,54,200
CP048233.1-19,11,1019
CP048233.1-20,13,958
CP048233.1-21,16,874
CP048233.1-22,11,1020
CP048233.1-23,7,1114
CP048233.1-24,46,276
CP048233.1-25,14,932
CP048233.1-26,14,933
CP048233.1-27,11,1021
CP048233.1-28,5,1159
CP048233.1-29,13,959
CP048233.1-30,27,562
CP048233.1-31,18,814
CP048233.1-32,3,1200
CP048233.1-33,15,908
CP048233.1-34,14,934
CP048233.1-35,9,1065
CP048233.1-36,10,1043
CP048233.1-37,12,993
CP048233.1-38,24,637
CP048233.1-39,21,729
CP048233.1-40,29,514
CP048233.1-41,14,935
CP048233.1-42,33,448
CP048233.1-43,16,875
CP048233.1-44,28,538
CP048233.1-45,21,730
CP048233.1-46,19,786
CP048233.1-47,35,408
CP048233.1-48,14,936
CP048233.1-49,58,183
CP048233.1-50,28,539
CP048233.1-51,28,540
CP048233.1-52,13,960
CP048233.1-53,89,59
CP048233.1-54,74,109
CP048233.1-55,121,34
CP048233.1-56,50,233
CP048233.1-57,81,81
CP048233.1-58,77,99
CP048233.1-59,78,96
CP048233.1-60,113,37
CP048233.1-61,63,145
CP048233.1-62,63,146
CP048233.1-63,42,319
CP048233.1-64,159,10
CP048233.1-65,35,409
CP048233.1-66,96,50
CP048233.1-67,30,501
CP048233.1-68,80,86
CP048233.1-69,4,1172
CP048233.1-70,2,1218
CP048234.1-0,0,1245
CP048234.1-1,7,1115
CP048234.1-2,1,1228
CP048234.1-3,1,1229
CP048234.1-4,6,1135
CP048234.1-5,14,937
CP048234.1-6,19,787
CP048234.1-7,19,788
CP048234.1-8,17,848
CP048234.1-9,23,664
CP048234.1-10,16,876
CP048234.1-11,18,815
CP048234.1-12,61,157
CP048234.1-13,53,204
CP048234.1-14,48,253
CP048234.1-15,31,488
CP048234.1-16,20,761
CP048234.1-17,15,909
CP048234.1-18,18,816
CP048234.1-19,63,147
CP048234.1-20,78,97
CP048234.1-21,49,239
CP048234.1-22,70,117
CP048234.1-23,156,12
CP048234.1-24,52,209
CP048234.1-25,79,91
CP048234.1-26,104,45
CP048234.1-27,52,210
CP048234.1-28,56,191
CP048234.1-29,47,263
CP048234.1-30,65,137
CP048234.1-31,109,41
CP048234.1-32,58,184
CP048234.1-33,50,234
CP048234.1-34,14,938
CP048234.1-35,18,817
CP048234.1-36,60,166
CP048234.1-37,40,345
CP048234.1-38,28,541
CP048234.1-39,64,141
CP048234.1-40,21,731
CP048234.1-41,25,606
CP048234.1-42,21,732
CP048234.1-43,67,131
CP048234.1-44,83,74
CP048234.1-45,24,638
CP048234.1-46,54,201
CP048234.1-47,28,542
CP048234.1-48,26,581
CP048234.1-49,61,158
CP048234.1-50,46,277
CP048234.1-51,13,961
CP048234.1-52,42,320
CP048234.1-53,24,639
CP048234.1-54,7,1116
CP048234.1-55,13,962
CP048234.1-56,34,428
CP048234.1-57,52,211
CP048234.1-58,37,387
CP048234.1-59,21,733
CP048234.1-60,10,1044
CP048234.1-61,39,362
CP048234.1-62,68,127
CP048234.1-63,22,695
CP048234.1-64,34,429
CP048234.1-65,23,665
CP048234.1-66,40,346
CP048234.1-67,21,734
CP048234.1-68,3,1201
CP048235.1-0,2,1219
CP048235.1-1,1,1230
CP048235.1-2,3,1202
CP048235.1-3,39,363
CP048235.1-4,59,173
CP048235.1-5,69,123
CP048235.1-6,10,1045
CP048235.1-7,41,336
CP048235.1-8,88,61
CP048235.1-9,32,469
CP048235.1-10,33,449
CP048235.1-11,17,849
CP048235.1-12,35,410
CP048235.1-13,22,696
CP048235.1-14,81,82
CP048235.1-15,43,307
CP048235.1-16,144,20
CP048235.1-17,16,877
CP048235.1-18,71,115
CP048235.1-19,70,118
CP048235.1-20,86,64
CP048235.1-21,21,735
CP048235.1-22,32,470
CP048235.1-23,85,67
CP048235.1-24,183,6
CP048235.1-25,80,87
CP048235.1-26,33,450
CP048235.1-27,83,75
CP048235.1-28,22,697
CP048235.1-29,40,347
CP048235.1-30,76,104
CP048235.1-31,33,451
CP048235.1-32,14,939
CP048235.1-33,25,607
CP048235.1-34,47,264
CP048235.1-35,41,337
CP048235.1-36,18,818
CP048235.1-37,52,212
CP048235.1-38,7,1117
CP048235.1-39,16,878
CP048235.1-40,18,819
CP048235.1-41,14,940
CP048235.1-42,49,240
CP048235.1-43,91,56
CP048235.1-44,4,1173
CP048235.1-45,17,850
CP048235.1-46,39,364
CP048235.1-47,57,189
CP048235.1-48,42,321
CP048235.1-49,21,736
CP048235.1-50,51,221
CP048235.1-51,23,666
CP048235.1-52,6,1136
CP048235.1-53,40,348
CP048235.1-54,14,941
CP048235.1-55,42,322
CP048235.1-56,15,910
CP048235.1-57,12,994
CP048235.1-58,12,995
CP048235.1-59,12,996
CP048235.1-60,27,563
CP048235.1-61,33,452
CP048235.1-62,44,297
CP048235.1-63,28,543
CP048235.1-64,25,608
CP048235.1-65,4,1174
CP048235.1-66,16,879
