Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048230.1-0,3,1207
CP048230.1-1,1,1229
CP048230.1-2,2,1220
CP048230.1-3,27,572
CP048230.1-4,25,617
CP048230.1-5,78,87
CP048230.1-6,73,101
CP048230.1-7,146,13
CP048230.1-8,63,144
CP048230.1-9,132,20
CP048230.1-10,37,395
CP048230.1-11,22,714
CP048230.1-12,122,26
CP048230.1-13,52,227
CP048230.1-14,119,29
CP048230.1-15,57,186
CP048230.1-16,28,547
CP048230.1-17,38,376
CP048230.1-18,100,46
CP048230.1-19,59,171
CP048230.1-20,48,260
CP048230.1-21,9,1083
CP048230.1-22,4,1189
CP048230.1-23,55,207
CP048230.1-24,15,907
CP048230.1-25,47,272
CP048230.1-26,66,128
CP048230.1-27,37,396
CP048230.1-28,15,908
CP048230.1-29,11,1029
CP048230.1-30,4,1190
CP048230.1-31,16,881
CP048230.1-32,31,489
CP048230.1-33,30,508
CP048230.1-34,36,407
CP048230.1-35,43,312
CP048230.1-36,17,854
CP048230.1-37,56,193
CP048230.1-38,15,909
CP048230.1-39,10,1060
CP048230.1-40,19,801
CP048230.1-41,39,363
CP048230.1-42,18,819
CP048230.1-43,45,291
CP048230.1-44,60,163
CP048230.1-45,17,855
CP048230.1-46,23,675
CP048230.1-47,38,377
CP048230.1-48,41,332
CP048230.1-49,6,1157
CP048230.1-50,2,1221
CP048231.1-0,3,1208
CP048231.1-1,23,676
CP048231.1-2,18,820
CP048231.1-3,37,397
CP048231.1-4,46,283
CP048231.1-5,51,232
CP048231.1-6,30,509
CP048231.1-7,50,240
CP048231.1-8,30,510
CP048231.1-9,77,90
CP048231.1-10,24,645
CP048231.1-11,22,715
CP048231.1-12,11,1030
CP048231.1-13,14,947
CP048231.1-14,23,677
CP048231.1-15,23,678
CP048231.1-16,10,1061
CP048231.1-17,20,772
CP048231.1-18,16,882
CP048231.1-19,21,744
CP048231.1-20,23,679
CP048231.1-21,3,1209
CP048231.1-22,28,548
CP048231.1-23,87,64
CP048231.1-24,37,398
CP048231.1-25,40,349
CP048231.1-26,48,261
CP048231.1-27,74,98
CP048231.1-28,85,70
CP048231.1-29,108,39
CP048231.1-30,94,55
CP048231.1-31,27,573
CP048231.1-32,22,716
CP048231.1-33,17,856
CP048231.1-34,33,458
CP048231.1-35,133,18
CP048231.1-36,18,821
CP048231.1-37,98,48
CP048231.1-38,146,14
CP048231.1-39,47,273
CP048231.1-40,32,476
CP048231.1-41,69,118
CP048231.1-42,74,99
CP048231.1-43,76,94
CP048231.1-44,169,8
CP048231.1-45,121,27
CP048231.1-46,94,56
CP048231.1-47,124,24
CP048231.1-48,126,23
CP048231.1-49,8,1116
CP048231.1-50,1,1230
CP048231.1-51,6,1158
CP048232.1-0,0,1248
CP048232.1-1,8,1117
CP048232.1-2,17,857
CP048232.1-3,26,595
CP048232.1-4,30,511
CP048232.1-5,36,408
CP048232.1-6,22,717
CP048232.1-7,31,490
CP048232.1-8,25,618
CP048232.1-9,10,1062
CP048232.1-10,31,491
CP048232.1-11,24,646
CP048232.1-12,24,647
CP048232.1-13,17,858
CP048232.1-14,23,680
CP048232.1-15,22,718
CP048232.1-16,66,129
CP048232.1-17,12,999
CP048232.1-18,56,194
CP048232.1-19,23,681
CP048232.1-20,15,910
CP048232.1-21,26,596
CP048232.1-22,27,574
CP048232.1-23,56,195
CP048232.1-24,69,119
CP048232.1-25,12,1000
CP048232.1-26,22,719
CP048232.1-27,47,274
CP048232.1-28,40,350
CP048232.1-29,27,575
CP048232.1-30,24,648
CP048232.1-31,82,76
CP048232.1-32,52,228
CP048232.1-33,30,512
CP048232.1-34,55,208
CP048232.1-35,47,275
CP048232.1-36,78,88
CP048232.1-37,97,52
CP048232.1-38,71,107
CP048232.1-39,81,81
CP048232.1-40,109,38
CP048232.1-41,119,30
CP048232.1-42,133,19
CP048232.1-43,234,2
CP048232.1-44,102,43
CP048232.1-45,114,34
CP048232.1-46,52,229
CP048232.1-47,87,65
CP048232.1-48,37,399
CP048232.1-49,38,378
CP048232.1-50,34,439
