Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048230.1-0,0,1238
CP048230.1-1,0,1239
CP048230.1-2,1,1225
CP048230.1-3,41,471
CP048230.1-4,36,557
CP048230.1-5,91,112
CP048230.1-6,126,48
CP048230.1-7,179,19
CP048230.1-8,80,151
CP048230.1-9,167,27
CP048230.1-10,57,305
CP048230.1-11,25,766
CP048230.1-12,172,24
CP048230.1-13,71,185
CP048230.1-14,153,34
CP048230.1-15,59,283
CP048230.1-16,35,584
CP048230.1-17,58,299
CP048230.1-18,119,54
CP048230.1-19,70,195
CP048230.1-20,72,181
CP048230.1-21,14,1013
CP048230.1-22,6,1166
CP048230.1-23,53,335
CP048230.1-24,14,1014
CP048230.1-25,62,262
CP048230.1-26,71,186
CP048230.1-27,52,354
CP048230.1-28,29,678
CP048230.1-29,15,994
CP048230.1-30,2,1215
CP048230.1-31,8,1138
CP048230.1-32,38,520
CP048230.1-33,43,445
CP048230.1-34,59,284
CP048230.1-35,52,355
CP048230.1-36,19,903
CP048230.1-37,66,222
CP048230.1-38,28,697
CP048230.1-39,23,813
CP048230.1-40,21,854
CP048230.1-41,49,381
CP048230.1-42,29,679
CP048230.1-43,52,356
CP048230.1-44,69,201
CP048230.1-45,27,717
CP048230.1-46,51,366
CP048230.1-47,49,382
CP048230.1-48,55,321
CP048231.1-0,0,1240
CP048231.1-1,36,558
CP048231.1-2,24,799
CP048231.1-3,45,424
CP048231.1-4,41,472
CP048231.1-5,66,223
CP048231.1-6,52,357
CP048231.1-7,59,285
CP048231.1-8,29,680
CP048231.1-9,102,82
CP048231.1-10,36,559
CP048231.1-11,29,681
CP048231.1-12,9,1119
CP048231.1-13,16,972
CP048231.1-14,27,718
CP048231.1-15,24,800
CP048231.1-16,12,1048
CP048231.1-17,20,877
CP048231.1-18,23,814
CP048231.1-19,22,830
CP048231.1-20,21,855
CP048231.1-21,2,1216
CP048231.1-22,43,446
CP048231.1-23,97,92
CP048231.1-24,41,473
CP048231.1-25,66,224
CP048231.1-26,54,330
CP048231.1-27,83,139
CP048231.1-28,91,113
CP048231.1-29,147,37
CP048231.1-30,116,56
CP048231.1-31,37,540
CP048231.1-32,27,719
CP048231.1-33,23,815
CP048231.1-34,43,447
CP048231.1-35,156,31
CP048231.1-36,38,521
CP048231.1-37,94,99
CP048231.1-38,186,15
CP048231.1-39,70,196
CP048231.1-40,52,358
CP048231.1-41,94,100
CP048231.1-42,108,71
CP048231.1-43,92,108
CP048231.1-44,189,13
CP048231.1-45,178,21
CP048231.1-46,136,41
CP048231.1-47,174,22
CP048231.1-48,174,23
CP048231.1-49,15,995
CP048231.1-50,0,1241
CP048231.1-51,4,1192
CP048232.1-0,1,1226
CP048232.1-1,12,1049
CP048232.1-2,22,831
CP048232.1-3,41,474
CP048232.1-4,33,613
CP048232.1-5,42,458
CP048232.1-6,38,522
CP048232.1-7,37,541
CP048232.1-8,38,523
CP048232.1-9,6,1167
CP048232.1-10,33,614
CP048232.1-11,30,664
CP048232.1-12,23,816
CP048232.1-13,21,856
CP048232.1-14,26,746
CP048232.1-15,25,767
CP048232.1-16,87,128
CP048232.1-17,11,1074
CP048232.1-18,60,274
CP048232.1-19,39,499
CP048232.1-20,8,1139
CP048232.1-21,37,542
CP048232.1-22,25,768
CP048232.1-23,69,202
CP048232.1-24,103,80
CP048232.1-25,21,857
CP048232.1-26,27,720
CP048232.1-27,52,359
CP048232.1-28,53,336
CP048232.1-29,34,599
CP048232.1-30,28,698
CP048232.1-31,92,109
CP048232.1-32,55,322
CP048232.1-33,37,543
CP048232.1-34,76,167
CP048232.1-35,32,629
CP048232.1-36,110,66
CP048232.1-37,122,51
CP048232.1-38,96,93
CP048232.1-39,109,68
CP048232.1-40,169,26
CP048232.1-41,186,16
CP048232.1-42,155,32
CP048232.1-43,264,2
CP048232.1-44,151,35
CP048232.1-45,159,30
CP048232.1-46,71,187
CP048232.1-47,133,42
