standard_name,Cg-ORF,Cg-length,avg_ess_score,mean_treated_cpm,Sc-ORF,Sc-name,SGD-essentiality,SGD-description,Cg-to-Sc-relationship,pre-WGD-Ancestor,n_pools,pools_present
GWK60_M09955,CAGL0M09999g,9375,0.08499999999999999,72730.19346094412,YBR140C,IRA1,inviable,"GTPase-activating protein; negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form, required for reducing cAMP levels under nutrient limiting conditions, mediates membrane association of adenylate cyclase; IRA1 has a paralog, IRA2, that arose from the whole genome duplication",2-to-2,Anc_3.124,4,"1,2,3,4"
GWK60_C04257,CAGL0C04763g,948,0.0375,10723.584138376389,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_B03641,CAGL0B03817g,999,0.1125,9949.785164342908,YJR008W,MHO1,NA,"Protein of unknown function; inhibits haploid invasive growth when overexpressed; synthetically lethal with phospholipase C (PLC1); expression induced by mild heat-stress on a non-fermentable carbon source, upon entry into stationary phase and upon nitrogen deprivation; repressed by inosine and choline in an Opi1p-dependent manner; highly conserved from bacteria to human; Memo, the human homolog, is an ErbB2 interacting protein with an essential function in cell motility",1-to-1,Anc_5.156,4,"1,2,3,4"
GWK60_B03509,CAGL0B03663g,1392,0.14,9843.54309004743,YCR005C,CIT2,NA,"Citrate synthase; catalyzes the condensation of acetyl coenzyme A and oxaloacetate to form citrate, peroxisomal isozyme involved in glyoxylate cycle; expression is controlled by Rtg1p and Rtg2p transcription factors; CIT2 has a paralog, CIT1, that arose from the whole genome duplication",2-to-2,Anc_1.422,4,"1,2,3,4"
GWK60_A00451,CAGL0A00561g,1239,0.10500000000000001,8854.34393775733,YGL004C,RPN14,NA,Assembly chaperone for the 19S proteasome regulatory particle base; proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasome regulatory particle (RP); null mutants accumulate ubiquitinated Gcn4p and display decreased 26S proteasome stability; interacts with Rpt5p,1-to-1,Anc_4.119,4,"1,2,3,4"
GWK60_J01639,CAGL0J01774g,7266,0.5225,8601.812480555429,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_G00869,CAGL0G01012g,1338,0.065,8431.672212370842,YLR341W,SPO77,NA,Meiosis-specific protein of unknown function; required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis,1-to-1,Anc_4.171,4,"1,2,3,4"
GWK60_L14091,CAGL0L10092g,4251,0.4225,8225.329650241581,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_C03223,CAGL0C03608g,1932,0.22749999999999998,7380.864785106821,NA,NA,NA,NA,2-to-1,Anc_6.363,4,"1,2,3,4"
GWK60_D00055,CAGL0L00227g,9726,0.1825,7380.777751952913,NA,NA,NA,NA,1-to-0,NA,4,"1,2,3,4"
GWK60_H09119,CAGL0H09152g,2334,0.3175,6904.044110401721,YKL198C,PTK1,NA,"Putative serine/threonine protein kinase; regulates spermine uptake; involved in polyamine transport; possible mitochondrial protein; PTK1 has a paralog, PTK2, that arose from the whole genome duplication",2-to-2,Anc_1.507,4,"1,2,3,4"
GWK60_A00891,CAGL0A01001g,660,0.1425,6672.754237185123,YLR326W,NA,NA,Putative protein of unknown function; predicted to be palmitoylated,1-to-1,Anc_4.144,4,"1,2,3,4"
