Standard name,Common name,Sc ortholog,Essential in Sc,Sc synthetic lethals,Sc fitness,Essential in albicans,Sp ortholog,Essential in Sp,Hits,Reads,Length,Neighborhood index,100 bp upstream hits,Max free region,Freedom index,Logit FI,Kornmann FI,Type,Description
C5_00010W_A,TLO11,,,,,,,,3,101,510,0.19150326797385622,0,323,0.6333333333333333,0.6060320718706455,0.0,ORF|Uncharacterized,Member of a family of telomere-proximal genes of unknown function; may be spliced in vivo
C5_00020W_A,,,,,,,,,2,51,275,0.23636363636363636,0,222,0.8072727272727273,0.5482824407888627,0.0,long_terminal_repeat,"Long terminal repeat (LTR); about 275 bp long, 13 copies per genome"
C5_00030W_A,,MRPL1,,,0.8053,,mrpl1,No,2,191,810,0.08051653185752802,8,454,0.5604938271604938,0.5592395268781981,0.0,ORF|Uncharacterized,Putative mitochondrial ribosomal protein of the large subunit; transcript is upregulated in clinical isolates from HIV+ patients with oral candidiasis; Spider biofilm repressed
C5_00040C_A,,GAA1,,,,No,gaa1,Yes,1,1,1644,0.01891840136973957,1,1450,0.8819951338199513,0.881994661481134,0.0,ORF|Uncharacterized,Subunit of the GPI (glycosylphosphatidylinositol):protein transamidase complex; removes the GPI-anchor signal and attaches GPI to proteins in the ER; Spider biofilm repressed
C5_00050W_A,,,,,,,,,1,23,699,0.04449478090393685,1,697,0.9971387696709585,0.9903984501059125,0.0,ORF|Uncharacterized,Predicted ORF from Assembly 19; removed from Assembly 20; restored based on transcription data
C5_00060C_A,,APC4,,,,No,,,1,19,1599,0.019415036183328866,2,1261,0.7886178861788617,0.7886172238305156,0.0,ORF|Uncharacterized,"Ortholog(s) have ubiquitin-protein transferase activity and role in anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process, protein ubiquitination"
C5_00070W_A,CDC11,CDC11,,Yes,,No,spn3,No,0,0,1209,0.0,2,1209,1.0,0.9999585093099298,0.0,ORF|Verified,"Septin; cell and hyphal morphology, agar-invasive growth, full virulence and kidney tissue invasion in mouse, but not kidney colonization, immunogenicity; hyphal and cell-cycle-regulated phosphorylation; rat catheter biofilm repressed"
C5_00080C_A,,SEC28,,,NaN,,,,7,925,936,0.24663110612015723,5,255,0.2724358974358974,0.27226268433553336,0.15009030427776263,ORF|Uncharacterized,Epsilon-COP subunit of the coatomer; regulates retrograde Golgi-to-ER protein traffic; Spider biofilm repressed
C5_00090C_A,,YIL077C,,,0.9735,,,,20,1811,663,1.0616725322607676,2,132,0.19909502262443438,0.19717166057372876,0.403012155744996,ORF|Uncharacterized,Predicted ORF from Assembly 19; removed from Assembly 20; subsequently reinstated in Assembly 21 based on comparative genome analysis
C5_00100C_A,,,,,,,,,12,847,603,0.6495301271420675,3,145,0.24046434494195687,0.23626489474627005,0.33388929402850914,ORF|Uncharacterized,Protein of unknown function; Spider biofilm induced
