Chromosome,Position,Reads
CP048230.1,2177,24
CP048230.1,2656,277
CP048230.1,19195,18
CP048230.1,25975,14
CP048230.1,31697,2
CP048230.1,31751,24
CP048230.1,32398,5
CP048230.1,32577,191
CP048230.1,33645,133
CP048230.1,33647,328
CP048230.1,33847,1
CP048230.1,33852,2
CP048230.1,33974,5
CP048230.1,34061,65
CP048230.1,39103,141
CP048230.1,39235,596
CP048230.1,39241,219
CP048230.1,39242,181
CP048230.1,39272,902
CP048230.1,39279,640
CP048230.1,39287,33
CP048230.1,39291,256
CP048230.1,39448,213
CP048230.1,39462,180
CP048230.1,39574,160
CP048230.1,39659,32
CP048230.1,40067,143
CP048230.1,40527,296
CP048230.1,42332,13
CP048230.1,43314,1
CP048230.1,43414,2
CP048230.1,43493,281
CP048230.1,43515,142
CP048230.1,43555,1
CP048230.1,44354,39
CP048230.1,45498,42
CP048230.1,47737,28
CP048230.1,48216,225
CP048230.1,48787,159
CP048230.1,48916,41
CP048230.1,50369,363
CP048230.1,50503,1
CP048230.1,50558,7
CP048230.1,50725,25
CP048230.1,51017,463
CP048230.1,51109,133
CP048230.1,51149,232
CP048230.1,51156,156
CP048230.1,51164,128
CP048230.1,51236,227
CP048230.1,51243,1208
CP048230.1,51248,43
CP048230.1,51254,39
CP048230.1,51261,106
CP048230.1,51316,52
CP048230.1,51394,29
CP048230.1,51467,5
CP048230.1,51520,510
CP048230.1,51549,2
CP048230.1,51553,441
CP048230.1,51556,1323
CP048230.1,51560,648
CP048230.1,51625,289
CP048230.1,51683,512
CP048230.1,51688,46
CP048230.1,51700,104
CP048230.1,51706,290
CP048230.1,51707,209
CP048230.1,51720,17
CP048230.1,51726,220
CP048230.1,51757,970
CP048230.1,51764,2
CP048230.1,51767,3
CP048230.1,51772,161
CP048230.1,52037,551
CP048230.1,52067,145
CP048230.1,52074,1
CP048230.1,52237,373
CP048230.1,52270,416
CP048230.1,52747,4
CP048230.1,53937,28
CP048230.1,55219,20
CP048230.1,55274,20
CP048230.1,55347,114
CP048230.1,55405,8
CP048230.1,55412,474
CP048230.1,55703,27
CP048230.1,55818,298
CP048230.1,55892,32
CP048230.1,57047,11
