Standard name,Common name,Type,Sc ortholog,Sc ortholog gene name,Sc SGDID,Essential in Sc,Sc synthetic lethals,Sc fitness,Hits,Reads,Length,Insertion index,Neighborhood index,Reads NI,Max free region,Freedom index,Logit FI,Kornmann FI,Domain ratio,Hits in domains,Reads in domains,Domain coverage
GWK60_A00011,EPA19,ORF,,,,,,,0,0,13698,0.0,0.0,0.0,13698,1.0,1.0,0.0,0.43371295079573663,0,0,5941
GWK60_A00033,EPA24,ORF,,,,,,,0,0,2109,0.0,0.0,0.0,2109,1.0,0.9999999948794296,0.0,0.3276434329065908,0,0,691
GWK60_A00055,GWK60_A00055,ORF,,,,,,,0,0,840,0.0,0.0,0.0,840,1.0,0.9983411989198255,0.0,0.0,0,0,0
GWK60_A00077,GWK60_A00077,ORF,YGL023C,PIB2,S000002991,,,0.8708,0,0,2271,0.0,0.0,0.0,2271,1.0,0.9999999989866457,0.0,0.7217084984588287,0,0,1639
GWK60_A00099,GWK60_A00099,ORF,YGL022W,STT3,S000002990,,,,0,0,2181,0.0,0.0,0.0,2181,1.0,0.9999999975075509,0.0,0.948188904172398,0,0,2068
GWK60_A00121,GWK60_A00121,ORF,YBL009W,ALK2,S000000105,,No,1.0150,4,53,2382,0.0016792611251049538,0.1412404628919797,0.03071759576544572,1029,0.43198992443324935,0.43198992428898203,0.0,0.8014273719563392,3,33,1909
GWK60_A00143,GWK60_A00143,ORF,YGL020C,GET1,S000002988,,,0.9325,0,0,672,0.0,0.0,0.0,672,1.0,0.9911635995393923,0.0,0.8720238095238095,0,0,586
GWK60_A00165,GWK60_A00165,ORF,YGL019W,CKB1,S000002987,,No,0.8682,0,0,801,0.0,0.0,0.0,801,1.0,0.9975519196246999,0.0,0.9188514357053683,0,0,736
GWK60_A00187,GWK60_A00187,ORF,YGL018C,JAC1,S000002986,,,,0,0,597,0.0,0.0,0.0,597,1.0,0.9814761750367006,0.0,0.88107202680067,0,0,526
GWK60_A00209,GWK60_A00209,ORF,YGL017W,ATE1,S000002985,,,1.0025,4,90,1530,0.00261437908496732,0.15819774718397994,0.057282697362458085,515,0.3366013071895425,0.33660074355388314,0.0,0.5620915032679739,2,38,860
GWK60_A00231,GWK60_A00231,ORF,YGL010W,MPO1,S000002978,,,1.0220,5,95,570,0.008771929824561403,0.4972004479283314,0.15202876219825373,181,0.3175438596491228,0.3098824721463191,0.0,0.843859649122807,3,62,481
GWK60_A00253,GWK60_A00253,ORF,YGL009C,LEU1,S000002977,,,1.0212,13,498,2355,0.005520169851380042,0.334408384726856,0.24556703208745292,900,0.3821656050955414,0.3821656049283533,0.15765952558379787,0.9953290870488323,13,498,2344
GWK60_A00275,GWK60_A00275,ORF,YGL016W,KAP122,S000002984,,,0.9042,8,520,3210,0.0024922118380062306,0.13137051289882518,0.17705376755370864,2150,0.6697819314641744,0.6697819314641178,0.12360577395807876,0.9984423676012462,8,520,3205
GWK60_A00297,SCL1,ORF,YGL011C,SCL1,S000002979,,Yes,,0,0,765,0.0,0.0,0.0,765,1.0,0.9964948127799336,0.0,0.9856209150326798,0,0,754
GWK60_A00319,ERG4,ORF,YGL012W,ERG4,S000002980,,,0.8460,0,0,1395,0.0,0.0,0.0,1395,1.0,0.9999935408088644,0.0,0.9469534050179211,0,0,1321
GWK60_A00341,PDR1,ORF,YBL005W,PDR3,S000000101,,No,1.0365,8,221,3324,0.0024067388688327317,0.11258980767450637,0.07598143840046145,1148,0.345367027677497,0.3453670276774876,0.0,0.8038507821901324,6,188,2672
GWK60_A00363,GWK60_A00363,ORF,YGL014W,PUF4,S000002982,,,0.9610,9,148,2361,0.0038119440914866584,0.1633567951115743,0.06012366277462473,629,0.26641253706056756,0.26641253695080586,0.15227340677580284,0.8331215586615841,6,116,1967
GWK60_A00385,PMA1,ORF,YGL008C,PMA1,S000002976,,Yes,,1,3,2709,0.00036913990402362494,0.013570583929275296,0.0008681903694512268,2686,0.9915097822074567,0.9915097821948717,0.0,0.9638242894056848,0,0,2611
GWK60_A00407,GWK60_A00407,ORF,YGL006W,PMC1,S000002974,,,1.0077,29,745,3369,0.008607895517957851,0.344315820718314,0.17707459709045045,594,0.176313446126447,0.17631344612644395,0.1787036933415304,0.9441970911249629,28,703,3181
GWK60_A00429,GWK60_A00429,ORF,YGL005C,COG7,S000002973,,,0.9487,1,28,810,0.0012345679012345679,0.052246577643403035,0.028460417361070262,659,0.8135802469135802,0.811759577561085,0.0,0.40617283950617283,0,0,329
GWK60_A00451,GWK60_A00451,ORF,YGL004C,RPN14,S000002972,,,1.0310,62,4505,1239,0.05004035512510089,2.3702448210922786,3.3964971157174455,148,0.11945117029862792,0.11944749868145259,0.46629265403918646,0.8385794995964487,56,4247,1039
GWK60_A00473,GWK60_A00473,ORF,,,,,,,8,160,1941,0.004121586810922205,0.1926177062039853,0.06942187347564069,841,0.43328181349819683,0.4332818015939063,0.1326563106311909,0.7825862957238536,7,122,1519
GWK60_A00495,GWK60_A00495,ORF,YGL003C,CDH1,S000002971,,,0.5930,2,42,1923,0.0010400416016640667,0.05782332012704969,0.022686326807911026,1207,0.6276651066042642,0.6276650859583532,0.0,0.9739989599583984,2,42,1873
